JDH+2400000;E;O-C;Type;source;Observer
27976,4000;-1661;0,000;pe;GCVS 1969;un.
36445,6900;0;0,000;pe;GCVS 1970;un.
41645,9100;1020;-0,670;V;INT_OMC this paper;
43400,3200;1364;-0,280;vis;GEOS CEP01 FGR;Figer
43792,9800;1441;-0,240;vis;GEOS CEP01 FGR;Figer
44532,3600;1586;-0,200;vis;GEOS CEP01 FGR;Figer
44817,9400;1642;-0,160;vis;GEOS CEP01 FGR;Figer
45220,8000;1721;-0,110;vis;GEOS CEP01 FGR;Figer
46261,2524;1925;0,160;V;Berdnikov 1987;
46266,2309;1926;0,040;V;Berdnikov 1987;
46271,2337;1927;-0,060;V;Berdnikov 1987;
48157,7700;2297;-0,120;V;Schmidt et al, 1995;
53190,4061;3284;-0,100;V;INT_OMC this paper;
56576,2600;3948;0,070;vis;GEOS FND;Ferrand
56622,2800;3957;0,200;V;GEOS FND;Ferrand
56912,8437;4014;0,130;V;CDS 2018 this paper;
57499,0644;4129;-0,020;V;ASAS-SN this paper;
57504,1089;4130;-0,080;V;ASAS-SN this paper;
57550,0530;4139;-0,030;V;ASAS-SN this paper;
57697,8930;4168;-0,050;V;KWS this paper;
57968,1390;4221;-0,050;V;KWS this paper;
57999,0460;4227;0,260;V;KWS this paper;
58049,9240;4237;0,150;V;KWS this paper;
58315,1490;4289;0,230;V;KWS this paper;
58416,8950;4309;0,000;V;KWS this paper;
58778,9020;4380;-0,010;V;KWS this paper;
59003,2670;4424;0,000;V;KWS this paper;
59008,2900;4425;-0,080;V;KWS this paper;
59140,9270;4451;-0,010;V;KWS this paper;
59727,2920;4566;-0,020;V;KWS this paper;
